inquiryprop,disciplineprop,traditionalprop,progressiveprop,reading1415,math1415,reading1516,math1516,reading1617,math1617,pocschool,pocsd,povertyschool,povertysd,childpovertysd,urban,primary,middle,high,otherlevel,students,age,state,cmoname,level,localefine,numwords,numpdfs,numpages,expulsions,suspensions,incidents,lawreferrals,lepcount,disabledcount,certrate,teacherratio,teacherscrdc,giftedcount,approgram,apcourses,titlei,geodistrict,districtname,schoolname,ethnicisolated99,ethnicisolated90,ethnicisolated80,ethnicisolated70,collegesd,popdensity,unemployment,foreignborn,closerate,publicdensity,charterdensity,address,latitude,longitude
0.0,0.0,0.0,0.0,20-24,30-34,,,20-24,35-39,95.39877300613497,35.739999999999995,100.0,5.63,0.08858896174654457,1,1.0,0.0,0.0,0.0,326.0,7,AK,,Primary,City (large),537.0,0,1,0.0,7.0,0.0,0.0,50.0,34.0,1.0,15.341176470588236,21.0,17.0,,,1.0,200180.0,Anchorage School District,Alaska Native Cultural Charter School,1,1,1,1,34.300000000000004,175.5875,6.05,10.29,0.0,101,9," 550 Bragaw Street , Anchorage AK 99504.0 ",61.21766,-149.810421
0.001610305958132046,0.0,0.0,0.0,,,,,35-39,15-19,38.613861386138616,35.739999999999995,0.0,5.63,0.08858896174654457,1,0.0,0.0,0.0,1.0,101.0,1,AK,,Other,City (large),621.0,0,1,0.0,0.0,0.0,0.0,2.0,,1.0,,1.78,2.0,No,,,200180.0,Anchorage School District,PAIDEIA Cooperative School,1,1,1,1,34.300000000000004,175.5875,6.05,10.29,0.0,101,9," 616 W 10th Ave , Anchorage AK 99501.0 ",61.21264,-149.894621
0.015737704918032783,0.0,0.0002179598953792502,0.0004361098996947232,55-59,55-59,,,60-64,50-54,47.2972972972973,30.590000000000003,25.675675675675674,4.23,0.07939872807862787,0,1.0,0.0,0.0,0.0,74.0,17,AK,,Primary,Town (remote),4588.0,0,6,0.0,0.0,0.0,0.0,6.0,,1.0,13.80597014925373,6.7,,,,0.0,200210.0,Juneau Borough School District,Juneau Community Charter School,1,1,1,1,39.42999999999999,12.03732,4.93,8.17,0.0,15,1," 430 Fourth Street , Juneau AK 99801.0 ",58.30278,-134.407219
,,,,70-74,85-89,,,80-84,85-89,15.469613259668508,16.36,0.0,7.13,0.14441585177560473,0,1.0,0.0,0.0,0.0,181.0,17,AK,,Primary,Town (remote),0.0,0,0,0.0,7.0,0.0,0.0,4.0,28.0,1.0,15.404255319148936,11.89,,,,0.0,200390.0,Kenai Peninsula Borough School District,Aurora Borealis Charter School,1,1,1,1,23.68,3.585432,8.71,2.82,0.0,43,4," 705 Frontage Rd Suite A , Kenai AK 99611.0 ",60.554091,-151.254006
0.0012151511995278268,0.0,0.0,0.0,60-69,50-59,,,50-59,50-59,20.652173913043477,16.36,27.173913043478258,7.13,0.14441585177560473,0,1.0,0.0,0.0,0.0,92.0,17,AK,,Primary,Rural (remote),28805.0,0,66,0.0,0.0,0.0,0.0,0.0,21.0,1.0,10.823529411764707,8.32,,,,1.0,200390.0,Kenai Peninsula Borough School District,Fireweed Academy,1,1,1,1,23.68,3.585432,8.71,2.82,0.0,43,4," 995 Soundview Ave , Homer AK 99603.0 ",59.6436,-151.56784
0.0008438818565400843,0.0,0.0,0.000844594594594595,45-49,45-49,,,60-64,40-44,17.901234567901234,16.36,22.22222222222222,7.13,0.14441585177560473,0,1.0,0.0,0.0,0.0,162.0,13,AK,,Primary,Town (remote),1185.0,0,12,0.0,9.0,0.0,0.0,2.0,33.0,1.0,15.32639545884579,10.82,6.0,,,0.0,200390.0,Kenai Peninsula Borough School District,Soldotna Montessori Charter School,1,1,1,1,23.68,3.585432,8.71,2.82,0.0,43,4," 162 E Park Street , Soldotna AK 99669.0 ",60.492076,-151.068568
0.0020260003376667227,0.001012829169480081,0.0,0.00016883336147222698,65-69,45-49,,,40-44,40-44,30.859375,16.36,21.875,7.13,0.14441585177560473,0,1.0,0.0,0.0,0.0,256.0,11,AK,,Primary,Town (remote),5924.0,0,12,0.0,1.0,0.0,0.0,8.0,44.0,1.0,15.920398009950251,17.35,6.0,,,0.0,200390.0,Kenai Peninsula Borough School District,Kaleidoscope School of Arts & Science,1,1,1,1,23.68,3.585432,8.71,2.82,0.0,43,4," 549 N Forest Dr , Kenai AK 99611.0 ",60.568277,-151.279143
0.0008605851979345956,0.0,0.0,0.0,60-64,50-54,,,55-59,45-49,17.842323651452283,16.319999999999993,0.0,6.43,0.09077830527981585,0,1.0,0.0,0.0,0.0,241.0,17,AK,,Primary,Town (distant),1162.0,0,1,0.0,0.0,0.0,0.0,6.0,35.0,1.0,14.311163895486937,15.57,7.0,,,0.0,200510.0,Matanuska-Susitna Borough School District,Academy Charter School,1,1,1,1,20.58,4.010054,9.86,3.28,0.0,45,6," 801 East Arctic , Palmer AK 99645.0 ",61.607242,-149.094387
0.0,0.0,0.0,0.0,55-59,60-64,,,60-64,55-59,17.46031746031746,16.319999999999993,0.0,6.43,0.09077830527981585,0,1.0,0.0,0.0,0.0,189.0,17,AK,,Primary,Rural (fringe),1002.0,0,2,0.0,0.0,0.0,0.0,4.0,29.0,1.0,25.471698113207548,8.62,6.0,,,0.0,200510.0,Matanuska-Susitna Borough School District,Midnight Sun Family Learning Center,1,1,1,1,20.58,4.010054,9.86,3.28,0.0,45,6," 7362 W Parks #714 , Wasilla AK 99623.0 ",61.596948,-149.634682
0.0051975051975051995,0.0,0.0,0.0,40-44,45-49,,,60-64,50-54,24.71264367816092,16.319999999999993,0.0,6.43,0.09077830527981585,0,0.0,0.0,0.0,1.0,174.0,13,AK,,Other,Rural (fringe),964.0,0,1,0.0,0.0,0.0,0.0,8.0,,1.0,17.469879518072286,10.73,6.0,No,,0.0,200510.0,Matanuska-Susitna Borough School District,American Charter Academy,1,1,1,1,20.58,4.010054,9.86,3.28,0.0,45,6," 7362 W Parks Hwy #723 , Wasilla AK 99623.0 ",61.58184,-149.634801
